customer_id,churn_probability,first_name,last_name,email,region,customer_segment,risk_level,recommended_action
95699bb2-9f56-4b96-b0b7-75afbbc598c0,0.8813,Burcuhan,Zengin,maksudeyorulmaz@example.net,Karadeniz,Risk,Kritik,Acil müşteri temsilcisi araması
3352b9da-b323-4579-9f0f-8d3b6c52ae24,0.8722,Vahittin,Gül,musaffa16@example.net,Güneydoğu Anadolu,Risk,Kritik,Acil müşteri temsilcisi araması
619a691c-4b08-4004-8851-9eed048f605e,0.8667,Feremez,Bilir,uguclu@example.com,Akdeniz,Risk,Kritik,Acil müşteri temsilcisi araması
803867fd-c99e-450a-98cf-728e1c3f43f3,0.8665,Akise,Dumanlı,bilgehekmet@example.org,Karadeniz,Risk,Kritik,Acil müşteri temsilcisi araması
cbe3e812-ad9c-4aac-81ac-1889639721de,0.8653,Mükrüme,Hayrioğlu,bakcay@example.org,Karadeniz,Risk,Kritik,Acil müşteri temsilcisi araması
4ceb08fc-5a07-446b-b87e-d2611489e765,0.8613,Solma,Demir,safakbuyrukhan@example.com,Ege,Risk,Kritik,Acil müşteri temsilcisi araması
1887c878-5488-4ea4-8879-4fc2bc7e0722,0.8613,Feden,Arslan,karadenizsenkal@example.com,Güneydoğu Anadolu,Risk,Kritik,Acil müşteri temsilcisi araması
711f6789-afd1-49fc-9b07-8f81d5143fb7,0.8606,Basriye,Durmuş,yukselnihan@example.net,Akdeniz,Risk,Kritik,Acil müşteri temsilcisi araması
c86a0beb-fdb7-49aa-b06d-e1934aecb8fd,0.8585,Necva,Çorlu,ildiz08@example.com,İç Anadolu,Risk,Kritik,Acil müşteri temsilcisi araması
1c0818cc-2956-43cf-ae0b-fb16dfefb230,0.8566,Fami,Sezgin,aynilhayat95@example.org,Güneydoğu Anadolu,Risk,Kritik,Acil müşteri temsilcisi araması
eac24ac8-937b-413f-9ac8-1f5fd95918ed,0.8548,Saba,Ertaş,hanceronursu@example.org,Ege,Risk,Kritik,Acil müşteri temsilcisi araması
208ae3b6-e007-462e-8209-17bcbb717eea,0.8501,Salimet,Zorlu,kursadertas@example.org,Karadeniz,Risk,Kritik,Acil müşteri temsilcisi araması
96e9d9f2-6c6f-492a-8f1a-091aa2afa4e3,0.8501,Temime,Şafak,gulagaihsanoglu@example.org,Karadeniz,Risk,Kritik,Acil müşteri temsilcisi araması
d744424e-b027-41cb-81c1-cc2833212c2a,0.8485,Bilgütay,Türk,xyilmaz@example.net,Akdeniz,Risk,Kritik,Acil müşteri temsilcisi araması
fb1fcb3d-413e-40d1-a958-f6292862a20a,0.8479,Altınışın,Erdoğan,arsoyaltogan@example.org,Karadeniz,Risk,Kritik,Acil müşteri temsilcisi araması
fa39bdca-12bf-4a01-aafa-3fcfe0aca606,0.8478,Fehmiye,Bilge,huzuri04@example.com,İç Anadolu,Risk,Kritik,Acil müşteri temsilcisi araması
f2ec1f87-b06a-4fa1-9c6c-d864d83bf435,0.8465,Tanpınar,Aksu,alemdaraydinc@example.com,Karadeniz,Risk,Kritik,Acil müşteri temsilcisi araması
d0c215c4-15a0-4e14-b5ce-197523afba59,0.8464,Akalan,Öcalan,susam71@example.org,Akdeniz,Risk,Kritik,Acil müşteri temsilcisi araması
748d63c0-11ea-40d0-bc35-d04044aff2dc,0.8463,Fami,Ertaş,,Doğu Anadolu,Risk,Kritik,Acil müşteri temsilcisi araması
f3ab559a-a930-4c23-8fcc-de05a37ebfba,0.8463,Büreyre,Yaman,fakgunduz@example.com,İç Anadolu,Risk,Kritik,Acil müşteri temsilcisi araması
58dff9f5-c5ee-4fb3-aabb-d31ac2eeaf56,0.8458,Turgut,Yılmaz,suphi61@example.org,Doğu Anadolu,Risk,Kritik,Acil müşteri temsilcisi araması
8f9f3aa4-0f8e-4e20-8b5d-465c1a8fe5f5,0.8457,Kopan,Şensoy,gulozgealemdar@example.com,İç Anadolu,Risk,Kritik,Acil müşteri temsilcisi araması
d3b6d898-bd7e-4048-a69d-99df9ebaabea,0.8448,Zekayi,Gülen,bilirkiramettin@example.org,Marmara,Risk,Kritik,Acil müşteri temsilcisi araması
c943bce2-2489-4764-aba5-a8e9151da0ef,0.8448,Nazıdil,Duran,demircelikyurek@example.com,Ege,Risk,Kritik,Acil müşteri temsilcisi araması
d0dde8de-db22-45e5-86e1-acec2f5a2c1f,0.844,Varlık,Akgündüz,bilginelgin@example.com,İç Anadolu,Risk,Kritik,Acil müşteri temsilcisi araması
a706191e-c165-4d7d-92c8-7b5b8d3a7548,0.8435,Okyalaz,Sakarya,bozerk39@example.com,Akdeniz,Risk,Kritik,Acil müşteri temsilcisi araması
a8630f28-e5a7-44f4-b0f5-bca3c399a64d,0.8425,Binay,Zorlu,rbilir@example.org,Marmara,Risk,Kritik,Acil müşteri temsilcisi araması
ac965e24-4339-4e29-ae03-6857a86d6518,0.8421,Selvi,Soylu,saricabaydumanli@example.org,Güneydoğu Anadolu,Risk,Kritik,Acil müşteri temsilcisi araması
01282ad0-10ba-4b47-8db9-c1f9640d81e1,0.8419,Dilara,Tevetoğlu,cakar75@example.com,İç Anadolu,Risk,Kritik,Acil müşteri temsilcisi araması
820b51c9-7720-4f5e-9204-b54d4773c410,0.8417,Okyalaz,Bilge,dalkilichancer@example.net,Karadeniz,Risk,Kritik,Acil müşteri temsilcisi araması
e2f612b9-029d-44d9-940c-484add84f0e4,0.8405,Ferahdiba,Şama,tanocalan@example.net,Marmara,Risk,Kritik,Acil müşteri temsilcisi araması
d37d8a42-4afa-42a6-bb0b-f110d884da97,0.8395,Demirok,Akgündüz,wgul@example.org,Güneydoğu Anadolu,Risk,Kritik,Acil müşteri temsilcisi araması
75fb9116-a376-42e5-b1d3-7e1be177412c,0.8385,Cabir,Erdoğan,rifkiye90@example.org,Akdeniz,Risk,Kritik,Acil müşteri temsilcisi araması
de0f5f04-6a52-4d34-8ac4-2e799704c252,0.8375,Tamaydın,Akdeniz,ertuncay31@example.org,Güneydoğu Anadolu,Risk,Kritik,Acil müşteri temsilcisi araması
a3684415-68bf-4a81-97a4-fcab8b9cc7db,0.8352,Alışık,Arsoy,elhan04@example.net,Karadeniz,Risk,Kritik,Acil müşteri temsilcisi araması
ccb19975-bf21-4b39-a512-07c3c643f971,0.8351,Serfinaz,Sezgin,ulu01@example.org,Güneydoğu Anadolu,Risk,Kritik,Acil müşteri temsilcisi araması
506cc452-b2ab-4589-b48c-d1486cd459f8,0.8348,Gücal,Duran,andic96@example.net,Marmara,Risk,Kritik,Acil müşteri temsilcisi araması
4a9ed5fe-9f44-4651-af7b-2ce85e224c69,0.8346,Aycagül,Yüksel,hayrioglucemiyle@example.net,Marmara,Risk,Kritik,Acil müşteri temsilcisi araması
a1b46b09-1493-4363-a8e8-2be6c203d4d2,0.8339,Sadat,Dumanlı,bilginadem@example.org,Karadeniz,Risk,Kritik,Acil müşteri temsilcisi araması
af7d756b-f3cf-4123-be79-e3637955b240,0.8334,Atnan,Zengin,kursadmanco@example.com,Ege,Risk,Kritik,Acil müşteri temsilcisi araması
5cc0f670-3193-4901-8879-d7b09e5607c7,0.8331,Çerçi,Hançer,yekda15@example.com,İç Anadolu,Risk,Kritik,Acil müşteri temsilcisi araması
ab75908a-d1fc-438e-aa3d-f732d2621839,0.8329,Akmaral,Yüksel,yildirsezgin@example.com,Güneydoğu Anadolu,Risk,Kritik,Acil müşteri temsilcisi araması
42730e8d-7314-479a-9a07-3af62637d966,0.8323,Sultane,İhsanoğlu,elginyildirim@example.net,Doğu Anadolu,Risk,Kritik,Acil müşteri temsilcisi araması
49c2ac76-c7c2-4ed8-b0b8-33a7acd7e57d,0.8313,Yurtgüven,Kısakürek,serda34@example.net,Akdeniz,Risk,Kritik,Acil müşteri temsilcisi araması
e5ba021a-af3a-4f27-bb4f-972d943cddb0,0.8306,Neşrin,İnönü,sevim28@example.org,Karadeniz,Risk,Kritik,Acil müşteri temsilcisi araması
db405b4c-e71c-429e-89be-3900c9b4ff8e,0.8304,Yağın,Hayrioğlu,munif40@example.com,Akdeniz,Risk,Kritik,Acil müşteri temsilcisi araması
7e645dd1-bc83-402e-a64d-a193d864f2bd,0.8304,Tayaydın,Aksu,ocalanhamiyet@example.com,Güneydoğu Anadolu,Risk,Kritik,Acil müşteri temsilcisi araması
7f7f1801-5f1f-4502-9f7f-4263d1a3a135,0.8294,Gökten,Yaman,sezersakip@example.com,Doğu Anadolu,Risk,Kritik,Acil müşteri temsilcisi araması
758a23cd-b053-4516-a112-d9b17a182676,0.828,Rüknettin,Sakarya,mdurmus@example.net,Güneydoğu Anadolu,Risk,Kritik,Acil müşteri temsilcisi araması
896aa894-1e2c-42d5-9ea7-35e77937d546,0.8279,Müsemma,Ülker,arsoysanavber@example.org,Ege,Risk,Kritik,Acil müşteri temsilcisi araması
2abb9532-026f-40c1-94ce-49122b33d298,0.8276,Nebih,Eraslan,hkaradeniz@example.com,Akdeniz,Risk,Kritik,Acil müşteri temsilcisi araması
